city,lat,lng,country,iso2,county,capital,population,population_proper
Dublin,53.35,-6.2603,Ireland,IE,Dublin,primary,1263219,592713
Finglas,53.4597,-6.2181,Ireland,IE,Dublin,,330506,330506
Cork,51.8972,-8.47,Ireland,IE,Cork,admin,222333,222333
Galway,53.2719,-9.0489,Ireland,IE,Galway,admin,83456,83456
Tallaght,53.2886,-6.3572,Ireland,IE,South Dublin,admin,81022,81022
Limerick,52.6653,-8.6238,Ireland,IE,Limerick,admin,58319,58319
Lucan,53.3544,-6.4486,Ireland,IE,South Dublin,,57550,57550
Waterford,52.2567,-7.1292,Ireland,IE,Waterford,admin,48369,48369
Clondalkin,53.3203,-6.3947,Ireland,IE,South Dublin,,47938,47938
Dún Dealgan,54.0044,-6.4003,Ireland,IE,Louth,admin,43112,39004
Drogheda,53.715,-6.3525,Ireland,IE,Louth,,40956,40956
Swords,53.4597,-6.2181,Ireland,IE,Fingal,admin,40776,36924
Navan,53.6528,-6.6814,Ireland,IE,Meath,,33886,33886
Blackrock,53.3015,-6.1778,Ireland,IE,Dún Laoghaire-Rathdown,,28557,28557
Ennis,52.8463,-8.9807,Ireland,IE,Clare,admin,27923,24253
Douglas,51.8764,-8.4358,Ireland,IE,Cork,,26883,26883
Tralee,52.2675,-9.6962,Ireland,IE,Kerry,admin,26079,26079
Carlow,52.8306,-6.9317,Ireland,IE,Carlow,admin,24272,24272
Dunleary,53.3,-6.14,Ireland,IE,Dún Laoghaire-Rathdown,admin,23857,23857
Port Laoise,53.0308,-7.3008,Ireland,IE,Laois,admin,23494,23494
Rathfarnham,53.2988,-6.2854,Ireland,IE,South Dublin,,23276,23276
Baile Átha Luain,53.4236,-7.9425,Ireland,IE,Westmeath,,22869,22869
Ashtown,53.3754,-6.3326,Ireland,IE,Dublin,,22740,22740
Mullingar,53.5224,-7.3378,Ireland,IE,Westmeath,admin,22667,22667
Letterkenny,54.9566,-7.7203,Ireland,IE,Donegal,,22549,22549
Kilkenny,52.6477,-7.2561,Ireland,IE,Kilkenny,admin,22179,22179
Greystones,53.144,-6.072,Ireland,IE,Wicklow,,22009,22009
Wexford,52.3342,-6.4575,Ireland,IE,Wexford,admin,21524,20188
Naas,53.217,-6.663,Ireland,IE,Kildare,admin,21393,21393
Celbridge,53.338,-6.5388,Ireland,IE,Kildare,,20601,20601
Ballyfermot,53.3423,-6.3487,Ireland,IE,Dublin,,19557,19557
Sligo,54.2667,-8.4833,Ireland,IE,Sligo,admin,19199,19199
Ballincollig,51.8879,-8.5893,Ireland,IE,Cork,,18621,18621
Mullach Íde,53.4508,-6.1544,Ireland,IE,Fingal,,18608,18608
Clonmel,52.3539,-7.7116,Ireland,IE,Tipperary,admin,18369,18369
Carrigaline,51.8166,-8.3905,Ireland,IE,Cork,,18239,18239
Stillorgan,53.2888,-6.1958,Ireland,IE,Dún Laoghaire-Rathdown,,18212,18212
Terenure,53.3098,-6.2835,Ireland,IE,South Dublin,,17972,17972
Maigh Nuad,53.3816,-6.591,Ireland,IE,Kildare,,17259,17259
Leixlip,53.3643,-6.4881,Ireland,IE,Kildare,,16733,15504
Baile an Bhiataigh,53.7014,-6.2461,Ireland,IE,Meath,,15642,15642
Donacarney,53.7094,-6.2783,Ireland,IE,Meath,,15642,15642
Tullamore,53.2667,-7.5,Ireland,IE,Offaly,admin,14607,14607
Killarney,52.0588,-9.5072,Ireland,IE,Kerry,,14412,14412
Midleton,51.916,-8.175,Ireland,IE,Cork,,13906,13906
Arklow,52.7941,-6.1649,Ireland,IE,Wicklow,,13399,13399
Castlebar,53.8608,-9.2988,Ireland,IE,Mayo,admin,13054,13054
Wicklow,52.9779,-6.033,Ireland,IE,Wicklow,admin,12957,12957
Cobh,51.851,-8.2967,Ireland,IE,Cork,,12347,12347
Enniscorthy,52.5021,-6.5659,Ireland,IE,Wexford,,12310,12310
An Cabhán,53.991,-7.3601,Ireland,IE,Cavan,admin,11741,11741
Gorey,52.677,-6.292,Ireland,IE,Wexford,,11517,11517
Tramore,52.1588,-7.1463,Ireland,IE,Waterford,,11277,11277
Palmerston,53.35,-6.379,Ireland,IE,Fingal,,11130,11130
Athy,52.992,-6.987,Ireland,IE,Kildare,,11035,11035
Longford,53.727,-7.8,Ireland,IE,Longford,admin,10952,10952
Rush,53.522,-6.089,Ireland,IE,Fingal,,10875,10875
Na Sceirí,53.5828,-6.1083,Ireland,IE,Fingal,,10743,10743
Killiney,53.2651,-6.1137,Ireland,IE,Dún Laoghaire-Rathdown,,10600,10600
Ráth Tó,53.506,-6.463,Ireland,IE,Meath,,10077,10077
Glanmire,51.9167,-8.4,Ireland,IE,Cork,,9903,9903
Nenagh,52.8632,-8.1995,Ireland,IE,Tipperary,admin,9895,9895
Donabate,53.487,-6.152,Ireland,IE,Fingal,,9669,9669
Tuam,53.515,-8.851,Ireland,IE,Galway,,9647,9647
Shannon,52.7137,-8.8686,Ireland,IE,Clare,,9222,9222
Lusca,53.526,-6.167,Ireland,IE,Fingal,,8806,8806
Kilcock,53.4004,-6.6681,Ireland,IE,Kildare,,8674,8674
